feature_pair,group,fold,rows,positive_rows,negative_rows,false_negative,false_positive,false_negative_rate,false_positive_rate
_AGE80 × GENHLTH,55-64 | 2: Very good,1,6364,209,6155,196,19,0.937799043062201,0.0030869212022745737
_AGE80 × GENHLTH,55-64 | 2: Very good,2,6275,232,6043,217,28,0.9353448275862069,0.0046334602018864805
_AGE80 × GENHLTH,55-64 | 2: Very good,3,6420,199,6221,186,22,0.9346733668341709,0.00353640893746986
_AGE80 × GENHLTH,55-64 | 3: Good,1,5912,478,5434,365,261,0.7635983263598326,0.04803091645196908
_AGE80 × GENHLTH,55-64 | 3: Good,2,5880,491,5389,379,254,0.7718940936863544,0.04713304880311746
_AGE80 × GENHLTH,55-64 | 3: Good,3,5896,465,5431,345,278,0.7419354838709677,0.05118762658810532
_AGE80 × GENHLTH,55-64 | 4: Fair,1,2843,554,2289,237,559,0.427797833935018,0.24421144604630843
_AGE80 × GENHLTH,55-64 | 4: Fair,2,2880,541,2339,229,606,0.4232902033271719,0.25908507909362977
_AGE80 × GENHLTH,55-64 | 4: Fair,3,2825,511,2314,213,655,0.41682974559686886,0.28305963699222125
_AGE80 × GENHLTH,55-64 | 5: Poor,1,1297,390,907,54,505,0.13846153846153847,0.5567805953693495
_AGE80 × GENHLTH,55-64 | 5: Poor,2,1293,383,910,67,527,0.17493472584856398,0.5791208791208792
_AGE80 × GENHLTH,55-64 | 5: Poor,3,1257,370,887,55,509,0.14864864864864866,0.5738444193912063
_AGE80 × GENHLTH,65+ | 1: Excellent,1,3854,201,3653,182,40,0.9054726368159204,0.010949904188338352
_AGE80 × GENHLTH,65+ | 1: Excellent,2,3955,199,3756,173,52,0.8693467336683417,0.013844515441959531
_AGE80 × GENHLTH,65+ | 1: Excellent,3,3935,208,3727,193,29,0.9278846153846154,0.007781057150523209
_AGE80 × GENHLTH,65+ | 2: Very good,1,9238,850,8388,662,534,0.7788235294117647,0.06366237482117311
_AGE80 × GENHLTH,65+ | 2: Very good,2,9266,882,8384,668,563,0.7573696145124716,0.06715171755725191
_AGE80 × GENHLTH,65+ | 2: Very good,3,9166,879,8287,678,484,0.7713310580204779,0.058404730300470616
_AGE80 × GENHLTH,65+ | 3: Good,1,10065,1798,8267,871,1892,0.4844271412680756,0.2288617394459901
_AGE80 × GENHLTH,65+ | 3: Good,2,9955,1713,8242,776,1964,0.45300642148277875,0.2382916767774812
_AGE80 × GENHLTH,65+ | 3: Good,3,10049,1775,8274,861,2008,0.48507042253521127,0.2426879381194102
_AGE80 × GENHLTH,65+ | 4: Fair,1,4991,1385,3606,304,1925,0.21949458483754514,0.5338325013865779
_AGE80 × GENHLTH,65+ | 4: Fair,2,4916,1389,3527,269,2017,0.19366450683945285,0.5718741139778849
_AGE80 × GENHLTH,65+ | 4: Fair,3,4910,1418,3492,286,1906,0.2016925246826516,0.5458190148911798
_AGE80 × GENHLTH,65+ | 5: Poor,1,1919,791,1128,42,896,0.05309734513274336,0.7943262411347518
_AGE80 × GENHLTH,65+ | 5: Poor,2,2054,832,1222,36,1005,0.04326923076923077,0.8224222585924713
_AGE80 × GENHLTH,65+ | 5: Poor,3,2074,865,1209,43,972,0.04971098265895954,0.8039702233250621
_AGE80 × GENHLTH,65+ | 7: Don’t know/Not Sure,1,67,16,51,7,5,0.4375,0.09803921568627451
_AGE80 × GENHLTH,65+ | 7: Don’t know/Not Sure,2,87,17,70,10,9,0.5882352941176471,0.12857142857142856
_AGE80 × GENHLTH,65+ | 7: Don’t know/Not Sure,3,86,17,69,6,10,0.35294117647058826,0.14492753623188406
_AGE80 × GENHLTH,65+ | 9: Refused,1,30,6,24,3,4,0.5,0.16666666666666666
_AGE80 × GENHLTH,65+ | 9: Refused,2,35,8,27,8,2,1.0,0.07407407407407407
_AGE80 × GENHLTH,65+ | 9: Refused,3,46,6,40,3,5,0.5,0.125
