feature_pair,group,fold,rows,positive_rows,negative_rows,false_negative,false_positive,false_negative_rate,false_positive_rate
_AGE80 × GENHLTH,55-64 | 3: Good,1,5912,478,5434,368,254,0.7698744769874477,0.04674273095325727
_AGE80 × GENHLTH,55-64 | 3: Good,2,5880,491,5389,391,180,0.7963340122199593,0.03340137316756356
_AGE80 × GENHLTH,55-64 | 3: Good,3,5896,465,5431,335,245,0.7204301075268817,0.04511139753268275
_AGE80 × GENHLTH,55-64 | 4: Fair,1,2843,554,2289,215,609,0.388086642599278,0.26605504587155965
_AGE80 × GENHLTH,55-64 | 4: Fair,2,2880,541,2339,231,583,0.4269870609981516,0.24925181701581872
_AGE80 × GENHLTH,55-64 | 4: Fair,3,2825,511,2314,174,716,0.3405088062622309,0.3094209161624892
_AGE80 × GENHLTH,55-64 | 5: Poor,1,1297,390,907,63,443,0.16153846153846155,0.4884233737596472
_AGE80 × GENHLTH,55-64 | 5: Poor,2,1293,383,910,77,442,0.2010443864229765,0.4857142857142857
_AGE80 × GENHLTH,55-64 | 5: Poor,3,1257,370,887,64,471,0.17297297297297298,0.5310033821871477
_AGE80 × GENHLTH,65+ | 1: Excellent,1,3854,201,3653,169,56,0.8407960199004975,0.015329865863673693
_AGE80 × GENHLTH,65+ | 1: Excellent,2,3955,199,3756,168,48,0.8442211055276382,0.012779552715654952
_AGE80 × GENHLTH,65+ | 1: Excellent,3,3935,208,3727,183,42,0.8798076923076923,0.011269117252481888
_AGE80 × GENHLTH,65+ | 2: Very good,1,9238,850,8388,635,639,0.7470588235294118,0.07618025751072961
_AGE80 × GENHLTH,65+ | 2: Very good,2,9266,882,8384,665,506,0.753968253968254,0.060353053435114504
_AGE80 × GENHLTH,65+ | 2: Very good,3,9166,879,8287,631,516,0.7178612059158134,0.06226620007240256
_AGE80 × GENHLTH,65+ | 3: Good,1,10065,1798,8267,812,1945,0.45161290322580644,0.2352727712592234
_AGE80 × GENHLTH,65+ | 3: Good,2,9955,1713,8242,733,1856,0.42790426152948047,0.22518806115020626
_AGE80 × GENHLTH,65+ | 3: Good,3,10049,1775,8274,772,2041,0.4349295774647887,0.2466763355088228
_AGE80 × GENHLTH,65+ | 4: Fair,1,4991,1385,3606,261,1980,0.1884476534296029,0.5490848585690515
_AGE80 × GENHLTH,65+ | 4: Fair,2,4916,1389,3527,267,1911,0.19222462203023757,0.5418202438332861
_AGE80 × GENHLTH,65+ | 4: Fair,3,4910,1418,3492,235,1923,0.16572637517630465,0.5506872852233677
_AGE80 × GENHLTH,65+ | 5: Poor,1,1919,791,1128,46,847,0.05815423514538559,0.750886524822695
_AGE80 × GENHLTH,65+ | 5: Poor,2,2054,832,1222,49,905,0.05889423076923077,0.7405891980360065
_AGE80 × GENHLTH,65+ | 5: Poor,3,2074,865,1209,54,918,0.06242774566473988,0.7593052109181141
_AGE80 × GENHLTH,65+ | 7: Don’t know/Not Sure,1,67,16,51,1,13,0.0625,0.2549019607843137
_AGE80 × GENHLTH,65+ | 7: Don’t know/Not Sure,2,87,17,70,7,25,0.4117647058823529,0.35714285714285715
_AGE80 × GENHLTH,65+ | 7: Don’t know/Not Sure,3,86,17,69,3,30,0.17647058823529413,0.43478260869565216
_AGE80 × GENHLTH,65+ | 9: Refused,1,30,6,24,3,10,0.5,0.4166666666666667
_AGE80 × GENHLTH,65+ | 9: Refused,2,35,8,27,3,7,0.375,0.25925925925925924
_AGE80 × GENHLTH,65+ | 9: Refused,3,46,6,40,2,11,0.3333333333333333,0.275
