feature_pair,group,fold,rows,positive_rows,negative_rows,false_negative,false_positive,false_negative_rate,false_positive_rate
_AGE80 × BPHIGH4,65+ | 3: No,1,11343,1118,10225,659,978,0.5894454382826476,0.09564792176039119
_AGE80 × BPHIGH4,65+ | 3: No,2,11498,1119,10379,637,908,0.5692582663092046,0.08748434338568263
_AGE80 × BPHIGH4,65+ | 3: No,3,11587,1166,10421,673,900,0.5771869639794168,0.08636407254582094
_AGE80 × BPHIGH4,65+ | 4: Told borderline high or pre-hypertensive,1,323,34,289,19,33,0.5588235294117647,0.11418685121107267
_AGE80 × BPHIGH4,65+ | 4: Told borderline high or pre-hypertensive,2,352,27,325,21,32,0.7777777777777778,0.09846153846153846
_AGE80 × BPHIGH4,65+ | 4: Told borderline high or pre-hypertensive,3,317,46,271,25,36,0.5434782608695652,0.13284132841328414
_AGE80 × BPHIGH4,65+ | 7: Don't know/Not Sure,1,82,17,65,8,13,0.47058823529411764,0.2
_AGE80 × BPHIGH4,65+ | 7: Don't know/Not Sure,2,91,20,71,8,9,0.4,0.1267605633802817
_AGE80 × BPHIGH4,65+ | 7: Don't know/Not Sure,3,72,19,53,3,13,0.15789473684210525,0.24528301886792453
BPHIGH4 × GENHLTH,1: Yes | 1: Excellent,1,2824,153,2671,121,53,0.7908496732026143,0.019842755522276302
BPHIGH4 × GENHLTH,1: Yes | 1: Excellent,2,2809,188,2621,153,43,0.8138297872340425,0.016405951926745516
BPHIGH4 × GENHLTH,1: Yes | 1: Excellent,3,2803,161,2642,143,41,0.8881987577639752,0.015518546555639667
BPHIGH4 × GENHLTH,1: Yes | 2: Very good,1,9645,776,8869,571,548,0.7358247422680413,0.061788251212087045
BPHIGH4 × GENHLTH,1: Yes | 2: Very good,2,9557,794,8763,593,445,0.7468513853904282,0.05078169576629008
BPHIGH4 × GENHLTH,1: Yes | 2: Very good,3,9433,789,8644,568,447,0.7198986058301647,0.051712170291531696
BPHIGH4 × GENHLTH,1: Yes | 3: Good,1,12635,1899,10736,972,1825,0.5118483412322274,0.16998882265275708
BPHIGH4 × GENHLTH,1: Yes | 3: Good,2,12562,1845,10717,896,1694,0.4856368563685637,0.1580666231221424
BPHIGH4 × GENHLTH,1: Yes | 3: Good,3,12715,1819,10896,822,2035,0.4518966465090709,0.18676578560939794
BPHIGH4 × GENHLTH,1: Yes | 4: Fair,1,6996,1749,5247,420,2336,0.24013722126929674,0.4452067848294263
BPHIGH4 × GENHLTH,1: Yes | 4: Fair,2,7053,1706,5347,419,2310,0.2456037514654162,0.4320179539928932
BPHIGH4 × GENHLTH,1: Yes | 4: Fair,3,6978,1745,5233,362,2387,0.20744985673352437,0.4561437034206
BPHIGH4 × GENHLTH,1: Yes | 5: Poor,1,2926,1134,1792,83,1227,0.07319223985890652,0.6847098214285714
BPHIGH4 × GENHLTH,1: Yes | 5: Poor,2,3068,1183,1885,118,1260,0.09974640743871513,0.6684350132625995
BPHIGH4 × GENHLTH,1: Yes | 5: Poor,3,3122,1168,1954,96,1367,0.0821917808219178,0.6995905834186285
BPHIGH4 × GENHLTH,1: Yes | 7: Don’t know/Not Sure,1,72,17,55,4,16,0.23529411764705882,0.2909090909090909
BPHIGH4 × GENHLTH,1: Yes | 7: Don’t know/Not Sure,2,81,12,69,4,31,0.3333333333333333,0.4492753623188406
