feature,group,rows,positive_rows,negative_rows,boosting_false_negatives,logistic_false_negatives,boosting_false_positives,logistic_false_positives,both_false_negatives,both_false_positives,boosting_only_false_negatives,boosting_only_false_positives,boosting_far_false_negatives,boosting_far_false_positives,boosting_false_negative_rate,logistic_false_negative_rate,boosting_false_positive_rate,logistic_false_positive_rate
GENHLTH,4: Fair,34676,6662,28014,1947,2172,8413,8196,1703,7022,244,1391,654,4040,0.2922545782047433,0.3260282197538277,0.3003141286499607,0.292568001713429
GENHLTH,5: Poor,13543,4309,9234,580,551,4745,5122,436,4402,144,343,171,2943,0.1346019958226967,0.12787189603156185,0.5138618150314057,0.5546891921160927
GENHLTH,7: Don’t know/Not Sure,457,69,388,23,41,89,30,23,30,0,59,11,41,0.3333333333333333,0.5942028985507246,0.22938144329896906,0.07731958762886598
GENHLTH,9: Refused,252,33,219,16,26,38,13,15,11,1,27,8,17,0.48484848484848486,0.7878787878787878,0.1735159817351598,0.0593607305936073
EMPLOY1,1: Employed for wages,107133,3391,103742,2603,2713,1554,1451,2514,1101,89,453,1811,500,0.7676201710409909,0.8000589796520201,0.014979468296350561,0.013986620655086657
EMPLOY1,2: Self-employed,21827,1202,20625,790,830,738,710,740,534,50,204,503,292,0.6572379367720466,0.6905158069883528,0.03578181818181818,0.03442424242424243
EMPLOY1,3: Out of work for 1 year or more,5610,493,5117,283,283,347,406,256,285,27,62,180,158,0.5740365111561866,0.5740365111561866,0.06781317178034005,0.07934336525307797
EMPLOY1,4: Out of work for less than 1 year,5403,257,5146,186,179,137,170,172,108,14,29,129,53,0.7237354085603113,0.6964980544747081,0.02662261951029926,0.033035367275553826
EMPLOY1,5: A homemaker,16111,1031,15080,608,599,748,841,538,595,70,153,327,265,0.5897187196896218,0.5809893307468477,0.04960212201591512,0.05576923076923077
EMPLOY1,6: A student,6928,51,6877,46,46,17,18,45,10,1,7,40,2,0.9019607843137255,0.9019607843137255,0.002472008143085648,0.0026174203867965684
EMPLOY1,7: Retired,78482,12679,65803,4752,5057,13715,13806,4259,11446,493,2269,1879,6222,0.3747929647448537,0.3988484896285196,0.20842514778961446,0.2098080634621522
EMPLOY1,8: Unable to work,18764,3928,14836,1075,1190,4470,4432,944,3746,131,724,413,2316,0.2736761710794297,0.3029531568228106,0.301294149366406,0.2987328120787274
EMPLOY1,9: Refused,2250,148,2102,76,83,109,113,67,87,9,22,38,48,0.5135135135135135,0.5608108108108109,0.051855375832540435,0.053758325404376785
INCOME2,"1: Less than $10,000",10861,1432,9429,498,553,1381,1544,439,1162,59,219,242,689,0.3477653631284916,0.3861731843575419,0.14646303955880793,0.16375013256973167
INCOME2,"2: Less than $15,000 ($10,000 to less than $15,000)",11564,1892,9672,588,589,1969,2104,499,1710,89,259,258,972,0.3107822410147992,0.31131078224101477,0.20357733664185276,0.21753515301902399
INCOME2,"3: Less than $20,000 ($15,000 to less than $20,000)",15785,2073,13712,746,797,2161,2288,649,1867,97,294,359,1055,0.3598649300530632,0.3844669561022672,0.15759918319719954,0.16686114352392065
INCOME2,"4: Less than $25,000 ($20,000 to less than $25,000)",19188,2304,16884,925,945,2339,2464,828,1996,97,343,428,1055,0.4014756944444444,0.41015625,0.13853352286188106,0.14593698175787728
INCOME2,"5: Less than $35,000 ($25,000 to less than $35,000)",23354,2517,20837,1076,1123,2510,2491,978,2061,98,449,512,1143,0.4274930472785062,0.4461660707191101,0.12045879925133177,0.11954695973508662
INCOME2,"6: Less than $50,000 ($35,000 to less than $50,000)",31050,2746,28304,1248,1315,2594,2585,1156,2117,92,477,644,1146,0.45447924253459576,0.4788783685360524,0.09164782362916903,0.09132984737139627
INCOME2,77: Don’t know/Not sure,20707,2160,18547,903,936,2188,2191,804,1785,99,403,422,1012,0.41805555555555557,0.43333333333333335,0.11797056127675636,0.11813231250336982
INCOME2,"7: Less than $75,000 ($50,000 to less than $75,000)",34711,2429,32282,1238,1327,2141,2037,1165,1727,73,414,662,944,0.5096747632770687,0.546315356113627,0.06632178923238957,0.06310017966668732
INCOME2,"8: $75,000 or more",68975,3336,65639,2049,2202,2454,2183,1973,1794,76,660,1219,945,0.6142086330935251,0.6600719424460432,0.03738630996815917,0.0332576669358156
INCOME2,99: Refused,24366,2169,22197,1083,1117,1987,1968,980,1608,103,379,536,847,0.49930843706777317,0.5149838635315813,0.08951660134252376,0.08866062981483984
INCOME2,missing,1947,122,1825,65,76,111,92,64,85,1,26,38,48,0.5327868852459017,0.6229508196721312,0.060821917808219175,0.05041095890410959
HAREHAB1,1: Yes,241,241,0,0,49,0,0,0,0,0,0,0,0,0.0,0.2033195020746888,,
HAREHAB1,2: No,366,366,0,0,135,0,0,0,0,0,0,0,0,0.0,0.36885245901639346,,
HAREHAB1,7: Don’t know/Not Sure,7,7,0,3,1,0,0,1,0,2,0,0,0,0.42857142857142855,0.14285714285714285,,
HAREHAB1,9: Refused,6,6,0,5,3,0,0,3,0,2,0,3,0,0.8333333333333334,0.5,,
HAREHAB1,missing,261888,22560,239328,10411,10792,21835,21947,9531,17912,880,3923,5317,9856,0.4614804964539007,0.47836879432624113,0.09123462361278246,0.09170260061505549
_AGE80 × BPHIGH4,18-44 | 1: Yes,9964,450,9514,336,365,253,218,325,153,11,100,236,105,0.7466666666666667,0.8111111111111111,0.026592390161866722,0.02291360100903931
